Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) 
"11428
(40.721396964798146, -73.74193729726841)",Small residential,3960945,417902
"11371
(40.775567374634704, -73.87086549974299)",Commercial,1381802,145788
"11228
(40.61654071408276, -74.0132778473947)",Industrial,543497,57342
"11233
(40.67813043816926, -73.91977647550391)",Commercial,1223131,129047
"10026
(40.80305812163505, -73.95334277604826)",Commercial,1153347,121685
"11691
(40.600614338480966, -73.76256777468302)",Commercial,7506142,791940
"11235
(40.57841410882412, -73.94026000009887)",Commercial,3818158,402837
"10045
(40.70786499996984, -74.00814400004555)",Commercial,16246,1714
"10473
(40.81773147093071, -73.86053700008245)",Large Residential,13657,1441
"11354
(40.76862022064671, -73.82719028070687)",Commercial,7429045,783806
"10040
(40.85809553188335, -73.92925548994884)",Residential,515640,54403
"11377
(40.74519376448069, -73.9048471440804)",Small residential,7978253,841750
"11411
(40.694293339066405, -73.73568329125084)",Small residential,5417452,571572
"11235
(40.57841410882412, -73.94026000009887)",Industrial,44596,4705
"10305
(40.596184688172855, -74.07507238488262)",Large residential,1136630,119921
"10452
(40.83772426336412, -73.9233322114124)",Commercial,8504273,897248
"11241
(40.69328899958771, -73.99062699983614)",Small residential,947,100
"11230
(40.62192951023877, -73.96551106018723)",Large residential,12513612,1320256
"11208
(40.67401318266229, -73.87206493005243)",Large residential,17908171,1889412
"10030
(40.81843517604261, -73.94276530357587)",Residential,2016283,212729
"11229
(40.60123350732056, -73.94436854117521)",Large residential,13147358,1387120
"11104
(40.74489336663561, -73.92054134530679)",Commercial,1377109,145293
"10460
(40.84309034804119, -73.87860282506028)",Commercial,7936792,837376
"11695
(40.59760800020911, -73.820967000027)",Small residential,6691,706
"11243
(40.685030000034544, -73.97807500016108)",Commercial,558,59
"10461
(40.846960590359004, -73.840632836736)",Residential,587242,61957
"11229
(40.60123350732056, -73.94436854117521)",Institutional,447194,47181
"11213
(40.67122516920625, -73.93644336636822)",Institutional,889348,93831
"10467
(40.8770479121315, -73.87153250082423)",Large Residential,4811979,507691
"11413
(40.66971118122609, -73.75087393328533)",Large residential,112283,11846
"11225
(40.66317005855143, -73.95370110911887)",Large residential,12401180,1308394
"10019
(40.76761164715987, -73.99180550022362)",Large Residential,1239760,130802
"11416
(40.68457809700163, -73.8496016684822)",Large residential,138988,14664
"11212
(40.66279716995348, -73.91298489433734)",Small residential,7377894,778409
"10460
(40.84309034804119, -73.87860282506028)",Residential,469613,49547
"11423
(40.71722229567246, -73.7671414999802)",Commercial,660047,69639
"11218
(40.64322700851966, -73.9764486221062)",Commercial,2009772,212042
"10002
(40.71612146793143, -73.98583147024613)",Large Residential,115301,12165
"10004
(40.688827825343935, -74.01911250583743)",Large Residential,5877,620
"11366
(40.72816440726166, -73.79226817393703)",Residential,2205608,232704
"11218
(40.64322700851966, -73.9764486221062)",Industrial,441018,46530
"10029
(40.79161072055837, -73.94403228106489)",Commercial,2344076,247313
"11417
(40.6763637308016, -73.84454275534387)",Small residential,6605848,696954
"10467
(40.8770479121315, -73.87153250082423)",Commercial,14662,1547
"10065
(40.76430121303059, -73.96303993544461)",Residential,1795744,189461
"11211
(40.711589765255496, -73.95817675075642)",Small residential,9211590,971874
"10004
(40.688827825343935, -74.01911250583743)",Residential,54549,5755
"11374
(40.72646491702238, -73.86148084756303)",Small residential,3149947,332337
"10023
(40.774536138232236, -73.97994335610099)",Large Residential,394079,41578
"10075
(40.77293949176419, -73.95609016263086)",Residential,1035531,109254
"10009
(40.72664935898081, -73.97911148500697)",Commercial,8554651,902564
"11693
(40.6183036047276, -73.82495531523557)",Small residential,948328,100054
"11220
(40.641184928741495, -74.01676472671073)",Industrial,2234971,235802
"11364
(40.745924680379744, -73.75790275560763)",Commercial,3008945,317461
"11428
(40.721396964798146, -73.74193729726841)",Commercial,65563,6917
"10457
(40.84579837129786, -73.89832418681175)",Large Residential,182574,19263
"11221
(40.69128803951145, -73.92761792792498)",Institutional,1174968,123966
"11412
(40.69812711747255, -73.75923519834566)",Commercial,522819,55160
"11436
(40.67571820912809, -73.79646501494847)",Small residential,4012282,423318
"10304
(40.59122944258473, -74.1113280000871)",Institutional,606346,63973
"10464
(40.875709096797436, -73.81229725041771)",Commercial,602169,63532
"10040
(40.85809553188335, -73.92925548994884)",Large Residential,186062,19631
"10468
(40.869693003729196, -73.89892699248668)",Residential,907812,95779
"11377
(40.74519376448069, -73.9048471440804)",Commercial,358163,37788
"10303
(40.633032309993155, -74.16834884981955)",Institutional,163704,17272
"11105
(40.780092072491186, -73.90960650023976)",Large Residential,23820,2513
"11369
(40.76341327370369, -73.8723788986672)",Institutional,168544,17782
"10469
(40.86818180274804, -73.84656868779467)",Commercial,2237093,236026
"11694
(40.57657830564432, -73.85077700055808)",Commercial,2058660,217200
"10472
(40.829730432513486, -73.87013213139272)",Residential,2650312,279623
"10458
(40.86260132868841, -73.88479001504714)",Commercial,2860723,301822
"11428
(40.721396964798146, -73.74193729726841)",Institutional,196563,20738
"10025
(40.79685012763133, -73.96372581059762)",Commercial,8752223,923409
"10011
(40.74471526669623, -74.00460000028977)",Large Residential,400282,42232
"11427
(40.72931057432362, -73.75067602128132)",Large residential,2347279,247651
"11368
(40.749678220373596, -73.85304068857687)",Large residential,6347326,669678
"11694
(40.57657830564432, -73.85077700055808)",Large residential,1573127,165974
"11422
(40.66161349396765, -73.736051726406)",Small residential,7114276,750596
"10034
(40.8706171092922, -73.9242232587963)",Residential,473019,49906
"11377
(40.74519376448069, -73.9048471440804)",Institutional,811937,85664
"10033
(40.85621992920642, -73.94585900019268)",Commercial,3904,412
"11203
(40.649721601170995, -73.93427608567276)",Industrial,268262,28303
"11432
(40.71311535449007, -73.79282099978928)",Institutional,1307797,137980
"11203
(40.649721601170995, -73.93427608567276)",Commercial,2692298,284053
"10307
(40.508004527487, -74.24211428194849)",Industrial,1870,197
"11363
(40.772398418252465, -73.74679788741253)",Residential,54273,5726
"11238
(40.67886241346963, -73.9638204696389)",Institutional,1006041,106143
"10455
(40.813535754971156, -73.9053552520432)",Commercial,1642415,173284
"11370
(40.75935377085989, -73.89184400040028)",Large residential,1074379,113353
"11428
(40.721396964798146, -73.74193729726841)",Commercial,596996,62986
"10463
(40.88187196282087, -73.91120748054078)",Large Residential,219710,23181
"11418
(40.69637041236467, -73.84031024991805)",Industrial,1146988,121014
"10452
(40.83772426336412, -73.9233322114124)",Residential,786394,82969
"10006
(40.70825614030866, -74.01355356964149)",Commercial,235511,24848
"10027
(40.811549564460904, -73.95290033568193)",Commercial,11932340,1258929
"11362
(40.759074216601846, -73.73430017711144)",Large Residential,36526,3854
"11420
(40.67334524268887, -73.81770717164864)",Institutional,2004714,211509
"11221
(40.69128803951145, -73.92761792792498)",Industrial,50866,5367
"11219
(40.63277295540763, -73.99667681118586)",Institutional,1076397,113566
"11367
(40.730323085042414, -73.82610630716033)",Small residential,1753,185
"10470
(40.90012797192844, -73.8712277502604)",Residential,236066,24906
"11232
(40.65451161701759, -74.00003392912248)",Industrial,13048581,1376698
"11412
(40.69812711747255, -73.75923519834566)",Small residential,9127477,963000
"11420
(40.67334524268887, -73.81770717164864)",Large residential,108873,11487
"10475
(40.874142343794176, -73.82706856556183)",Residential,9204,971
"10310
(40.632789000212256, -74.11645860538027)",Small residential,5137096,541992
"11369
(40.76341327370369, -73.8723788986672)",Large residential,1688743,178172
"10280
(40.709594512276965, -74.02022453553383)",Commercial,103950,10967
"11369
(40.76341327370369, -73.8723788986672)",Industrial,8824,931
"11432
(40.71311535449007, -73.79282099978928)",Commercial,1277032,134734
"11360
(40.78070133439911, -73.78226733686807)",Commercial,486382,51316
"10314
(40.59649030298516, -74.16599111879503)",Small residential,19041165,2008950
"11692
(40.593133885620375, -73.79540208463845)",Small residential,2194609,231544
"11216
(40.680758670876, -73.94926775090596)",Institutional,1015256,107115
"11378
(40.72145310497689, -73.90854350068196)",Large residential,618419,65247
"10033
(40.85621992920642, -73.94585900019268)",Residential,658126,69436
"11228
(40.61654071408276, -74.0132778473947)",Institutional,278441,29377
"11211
(40.711589765255496, -73.95817675075642)",Large residential,12471511,1315814
"11205
(40.693882095282504, -73.96433450773128)",Large residential,11356025,1198124
"11365
(40.73987184371066, -73.79462153515567)",Residential,4511563,475995
"10025
(40.79685012763133, -73.96372581059762)",Large Residential,3058952,322737
"10466
(40.89080973018497, -73.84600906306775)",Residential,891414,94049
"11411
(40.694293339066405, -73.73568329125084)",Institutional,316866,33431
"10281
(40.71433000042924, -74.0151969997417)",Commercial,37094,3914
"11215
(40.665557251366124, -73.97968153557434)",Institutional,675011,71217
"10022
(40.758630224005685, -73.96809182217982)",Large Residential,98604,10403
"10035
(40.79381703542788, -73.91931750020245)",Commercial,6691182,705957
"11214
(40.604011809897145, -74.0009690001192)",Small residential,12807919,1351307
"11435
(40.70119264912154, -73.80979665579099)",Commercial,79476,8385
"11219
(40.63277295540763, -73.99667681118586)",Commercial,2866327,302414
"10457
(40.84579837129786, -73.89832418681175)",Residential,779330,82224
"10031
(40.82495420507257, -73.9501244360938)",Commercial,3819653,402995
"11414
(40.65817022817356, -73.84496263981396)",Commercial,1151068,121444
"11377
(40.74519376448069, -73.9048471440804)",Residential,74199,7828
"11224
(40.576304656334855, -73.99953200040147)",Institutional,455120,48018
"11426
(40.73704138495202, -73.72415699894628)",Commercial,1716958,181149
"11237
(40.704095739826585, -73.92099423399668)",Small residential,3804248,401369
"11001
(40.72139000494485, -73.70739692842545)",Residential,703063,74177
"11372
(40.75163073936716, -73.88361254528269)",Industrial,48106,5075
"11365
(40.73987184371066, -73.79462153515567)",Large Residential,57283,6044
"10036
(40.75934682719435, -73.989860554421)",Large Residential,395037,41679
"10463
(40.88187196282087, -73.91120748054078)",Commercial,7214349,761154
"11040
(40.74529996182383, -73.6796319322678)",Residential,17466,1843
"11252
(40.60793409418318, -74.02694266727025)",Institutional,301262,31785
"11109
(40.744414792408804, -73.95770234668589)",Commercial,45899,4843
"11217
(40.68231210132245, -73.97956718857483)",Institutional,769153,81150
"10454
(40.805846930091775, -73.91628504651766)",Commercial,2249303,237314
"11234
(40.61636866748006, -73.92773224974349)",Large residential,5240504,552903
"10037
(40.81329776108288, -73.93728252556804)",Commercial,2164822,228401
"10307
(40.508004527487, -74.24211428194849)",Large residential,21125,2229
"11423
(40.71722229567246, -73.7671414999802)",Small residential,5458466,575899
"11101
(40.74570244980828, -73.93866902925225)",Residential,1144993,120803
"11692
(40.593133885620375, -73.79540208463845)",Large residential,983881,103805
"11418
(40.69637041236467, -73.84031024991805)",Institutional,726983,76701
"10307
(40.508004527487, -74.24211428194849)",Institutional,163208,17219
"11691
(40.600614338480966, -73.76256777468302)",Large residential,7229588,762762
"10309
(40.530393118347774, -74.21893861432557)",Institutional,579303,61120
"10004
(40.688827825343935, -74.01911250583743)",Commercial,1726800,182187
"11423
(40.71722229567246, -73.7671414999802)",Institutional,508795,53681
"10458
(40.86260132868841, -73.88479001504714)",Residential,1068746,112759
"11230
(40.62192951023877, -73.96551106018723)",Commercial,2318028,244565
"10473
(40.81773147093071, -73.86053700008245)",Residential,233862,24674
"11372
(40.75163073936716, -73.88361254528269)",Commercial,3234761,341285
"11693
(40.6183036047276, -73.82495531523557)",Commercial,948937,100118
"11434
(40.6769452621142, -73.77530690169215)",Commercial,2955224,311793
"11435
(40.70119264912154, -73.80979665579099)",Industrial,85671,9039
"10310
(40.632789000212256, -74.11645860538027)",Commercial,1837495,193866
"11229
(40.60123350732056, -73.94436854117521)",Commercial,1993920,210370
"10306
(40.56602048965391, -74.11994566905736)",Commercial,1794789,189360
"10475
(40.874142343794176, -73.82706856556183)",Commercial,11525984,1216056
"10022
(40.758630224005685, -73.96809182217982)",Commercial,7987371,842712
"10460
(40.84309034804119, -73.87860282506028)",Residential,1686599,177946
"10069
(40.77825400032191, -73.98854199991331)",Residential,44780,4725
"10454
(40.805846930091775, -73.91628504651766)",Residential,1001876,105704
"10469
(40.86818180274804, -73.84656868779467)",Commercial,8063164,850709
"11357
(40.78628404147537, -73.81123206101074)",Residential,6962862,734621
"11423
(40.71722229567246, -73.7671414999802)",Commercial,23,2
"11102
(40.77152402451418, -73.92643545073543)",Large Residential,79519,8390
"11109
(40.744414792408804, -73.95770234668589)",Residential,175063,18470
"10075
(40.77293949176419, -73.95609016263086)",Commercial,3374658,356045
"11223
(40.596939623165156, -73.97331147204676)",Small residential,14240984,1502504
"10035
(40.79381703542788, -73.91931750020245)",Residential,1478698,156011
"10308
(40.552935295427574, -74.15130275981448)",Small residential,6910394,729085
"11234
(40.61636866748006, -73.92773224974349)",Institutional,1812535,191233
"10021
(40.76920532766377, -73.959183941086)",Commercial,3187154,336263
"11430
(40.64722932617252, -73.78637495254196)",Small residential,9195,970
"10282
(40.71961455706622, -74.01464928293802)",Residential,33268,3510
"10453
(40.852786838341956, -73.91342678431863)",Residential,785354,82859
"11231
(40.6775543117821, -74.00467670436637)",Institutional,346781,36587
"11363
(40.772398418252465, -73.74679788741253)",Residential,1706804,180077
"10301
(40.62678550844453, -74.09611291088208)",Large residential,3780433,398857
"11417
(40.6763637308016, -73.84454275534387)",Industrial,47683,5031
"10014
(40.73358645135369, -74.01019960472792)",Commercial,17212,1816
"11361
(40.76418884813688, -73.77232552860022)",Commercial,1616689,170570
"10303
(40.633032309993155, -74.16834884981955)",Small residential,4136073,436379
"11368
(40.749678220373596, -73.85304068857687)",Institutional,1001098,105621
"10456
(40.8304366800088, -73.9077651995043)",Commercial,14583516,1538643
"11356
(40.7849280967543, -73.84181070040347)",Residential,268003,28276
"10065
(40.76430121303059, -73.96303993544461)",Residential,156086,16468
"11216
(40.680758670876, -73.94926775090596)",Small residential,6780596,715391
"10460
(40.84309034804119, -73.87860282506028)",Commercial,6492444,684989
"11207
(40.670802431187326, -73.89384115004901)",Industrial,1355364,142998
"11355
(40.7512997969481, -73.82147854789662)",Residential,5458878,575942
"11238
(40.67886241346963, -73.9638204696389)",Large residential,9649474,1018074
"11004
(40.74323783435864, -73.71201500019208)",Commercial,2555500,269620
"11252
(40.60793409418318, -74.02694266727025)",Commercial,38852,4099
"10468
(40.869693003729196, -73.89892699248668)",Residential,998166,105312
"11223
(40.596939623165156, -73.97331147204676)",Commercial,2376036,250685
"11356
(40.7849280967543, -73.84181070040347)",Commercial,2415327,254831
"10462
(40.84225833665295, -73.85799663293824)",Large Residential,8264125,871912
"10309
(40.530393118347774, -74.21893861432557)",Small residential,8086128,853132
"10032
(40.83693034905639, -73.94917852197119)",Residential,910692,96083
"10471
(40.90199442310421, -73.9036265005625)",Commercial,1183226,124837
"10021
(40.76920532766377, -73.959183941086)",Residential,2002900,211317
"11232
(40.65451161701759, -74.00003392912248)",Commercial,3285406,346629
"10014
(40.73358645135369, -74.01019960472792)",Commercial,3569148,376565
"10472
(40.829730432513486, -73.87013213139272)",Residential,827862,87344
"10037
(40.81329776108288, -73.93728252556804)",Residential,611811,64549
"11211
(40.711589765255496, -73.95817675075642)",Industrial,1046750,110438
"10027
(40.811549564460904, -73.95290033568193)",Commercial,25473,2688
"10027
(40.811549564460904, -73.95290033568193)",Residential,2542279,268225
"11103
(40.76286893025696, -73.91327185810974)",Large Residential,80092,8450
"11201
(40.69467825879468, -73.98992086835335)",Small residential,3575205,377204
"11378
(40.72145310497689, -73.90854350068196)",Industrial,2809327,296400
"10044
(40.76197648622593, -73.94999967494499)",Commercial,1496982,157940
"10304
(40.59122944258473, -74.1113280000871)",Small residential,8802763,928741
"11411
(40.694293339066405, -73.73568329125084)",Commercial,262173,27661
"11416
(40.68457809700163, -73.8496016684822)",Small residential,5019507,529586
"10028
(40.776344978837756, -73.95296667956859)",Residential,1619890,170908
"11363
(40.772398418252465, -73.74679788741253)",Commercial,538595,56825
"10462
(40.84225833665295, -73.85799663293824)",Residential,2849924,300683
"10280
(40.709594512276965, -74.02022453553383)",Commercial,1396819,147372
"11371
(40.775567374634704, -73.87086549974299)",Industrial,1707,180
"11434
(40.6769452621142, -73.77530690169215)",Commercial,,
"10033
(40.85621992920642, -73.94585900019268)",Residential,628133,66272
"11256
(40.662351000098624, -73.86011500040689)",Institutional,277857,29315
"11377
(40.74519376448069, -73.9048471440804)",Commercial,311084,32821
"10468
(40.869693003729196, -73.89892699248668)",Commercial,4380584,462176
"11363
(40.772398418252465, -73.74679788741253)",Large Residential,40443,4267
"10013
(40.721242188776046, -74.00888900022716)",Commercial,7261765,766157
"10306
(40.56602048965391, -74.11994566905736)",Small residential,13376088,1411252
"11429
(40.70991312049415, -73.73864031609764)",Industrial,150862,15917
"10017
(40.75245652744684, -73.97297648087982)",Residential,168035,17729
"10021
(40.76920532766377, -73.959183941086)",Commercial,6581,694
"11205
(40.693882095282504, -73.96433450773128)",Small residential,3834731,404586
"11212
(40.66279716995348, -73.91298489433734)",Commercial,1796469,189538
"11691
(40.600614338480966, -73.76256777468302)",Small residential,7887704,832197
"11219
(40.63277295540763, -73.99667681118586)",Industrial,3101780,327255
"11365
(40.73987184371066, -73.79462153515567)",Small residential,3378,356
"11435
(40.70119264912154, -73.80979665579099)",Institutional,865115,91274
"10303
(40.633032309993155, -74.16834884981955)",Large residential,1519719,160339
"10023
(40.774536138232236, -73.97994335610099)",Residential,3911782,412715
"11365
(40.73987184371066, -73.79462153515567)",Commercial,1336553,141014
"11220
(40.641184928741495, -74.01676472671073)",Large residential,6756193,712816
"10024
(40.78362556816552, -73.96653900057436)",Commercial,1822842,192320
"11428
(40.721396964798146, -73.74193729726841)",Commercial,19477,2055
"11232
(40.65451161701759, -74.00003392912248)",Large residential,2048639,216143
"11692
(40.593133885620375, -73.79540208463845)",Commercial,777179,81997
"10452
(40.83772426336412, -73.9233322114124)",Large Residential,93786,9895
"10009
(40.72664935898081, -73.97911148500697)",Residential,2516364,265491
"11429
(40.70991312049415, -73.73864031609764)",Institutional,1416594,149459
"11222
(40.72825312178418, -73.94715978319738)",Large residential,3928747,414505
"11379
(40.71679766547993, -73.87933421310339)",Industrial,168135,17739
"10455
(40.813535754971156, -73.9053552520432)",Residential,226661,23914
"11366
(40.72816440726166, -73.79226817393703)",Commercial,1151855,121527
"10462
(40.84225833665295, -73.85799663293824)",Commercial,3712204,391658
"11228
(40.61654071408276, -74.0132778473947)",Commercial,881038,92954
"10029
(40.79161072055837, -73.94403228106489)",Residential,242271,25561
"11214
(40.604011809897145, -74.0009690001192)",Industrial,285392,30110
"11420
(40.67334524268887, -73.81770717164864)",Small residential,9694601,1022835
"10044
(40.76197648622593, -73.94999967494499)",Residential,93171,9830
"11432
(40.71311535449007, -73.79282099978928)",Commercial,1433501,151242
"11362
(40.759074216601846, -73.73430017711144)",Small residential,336,35
"10455
(40.813535754971156, -73.9053552520432)",Large Residential,51911,5477
"11362
(40.759074216601846, -73.73430017711144)",Commercial,647115,68274
"11105
(40.780092072491186, -73.90960650023976)",Residential,3098073,326864
"10456
(40.8304366800088, -73.9077651995043)",Large Residential,161363,17025
"10451
(40.82069640711353, -73.92384136798472)",Residential,259959,27427
"10017
(40.75245652744684, -73.97297648087982)",Residential,23970,2529
"11206
(40.70191201682616, -73.94237919854112)",Industrial,593089,62574
"11206
(40.70191201682616, -73.94237919854112)",Institutional,2486776,262369
"10464
(40.875709096797436, -73.81229725041771)",Commercial,312764,32998
"10472
(40.829730432513486, -73.87013213139272)",Large Residential,17374,1833
"11210
(40.62772226387142, -73.946537919989)",Industrial,63151,6663
"11101
(40.74570244980828, -73.93866902925225)",Commercial,7992026,843203
"10028
(40.776344978837756, -73.95296667956859)",Commercial,1684068,177679
"11104
(40.74489336663561, -73.92054134530679)",Commercial,1399157,147619
"10023
(40.774536138232236, -73.97994335610099)",Commercial,1543305,162827
"11355
(40.7512997969481, -73.82147854789662)",Large Residential,2632163,277708
"11204
(40.619055848049015, -73.98479859887618)",Institutional,892032,94114
"11238
(40.67886241346963, -73.9638204696389)",Industrial,228912,24151
"11419
(40.68871379040917, -73.82288833053201)",Small residential,8591091,906408
"11234
(40.61636866748006, -73.92773224974349)",Industrial,657191,69337
"11220
(40.641184928741495, -74.01676472671073)",Small residential,10755271,1134741
"11426
(40.73704138495202, -73.72415699894628)",Residential,233178,24602
"11210
(40.62772226387142, -73.946537919989)",Institutional,1837588,193876
"11432
(40.71311535449007, -73.79282099978928)",Industrial,106054,11189
"11234
(40.61636866748006, -73.92773224974349)",Small residential,22219097,2344239
"11422
(40.66161349396765, -73.736051726406)",Industrial,13360,1410
"10301
(40.62678550844453, -74.09611291088208)",Industrial,42909,4527
"10471
(40.90199442310421, -73.9036265005625)",Residential,128800,13589
"11221
(40.69128803951145, -73.92761792792498)",Small residential,10226769,1078981
"10039
(40.82668192862815, -73.93777090780111)",Residential,471926,49791
"11430
(40.64722932617252, -73.78637495254196)",Institutional,2611959,275576
"11103
(40.76286893025696, -73.91327185810974)",Commercial,1904692,200956
"11234
(40.61636866748006, -73.92773224974349)",Commercial,6157277,649627
"11236
(40.64002149379695, -73.90112193992553)",Large residential,11489554,1212212
"11368
(40.749678220373596, -73.85304068857687)",Industrial,508926,53695
"10044
(40.76197648622593, -73.94999967494499)",Commercial,234470,24738
"10035
(40.79381703542788, -73.91931750020245)",Large Residential,1531490,161581
"11222
(40.72825312178418, -73.94715978319738)",Commercial,3484625,367647
"10035
(40.79381703542788, -73.91931750020245)",Commercial,2154540,227316
"10455
(40.813535754971156, -73.9053552520432)",Residential,1650436,174130
"10005
(40.7061257920717, -74.00858468583453)",Commercial,382037,40307
"11235
(40.57841410882412, -73.94026000009887)",Institutional,2091533,220668
"10463
(40.88187196282087, -73.91120748054078)",Residential,507053,53497
"11417
(40.6763637308016, -73.84454275534387)",Commercial,777807,82063
"11422
(40.66161349396765, -73.736051726406)",Large residential,149873,15812
"10016
(40.745242969987146, -73.97823298586354)",Large Residential,87331,9214
"11235
(40.57841410882412, -73.94026000009887)",Small residential,9977961,1052731
"11436
(40.67571820912809, -73.79646501494847)",Institutional,220564,23271
"11358
(40.760350968822195, -73.79632645819947)",Commercial,1898565,200309
"11221
(40.69128803951145, -73.92761792792498)",Large residential,8523704,899299
"11430
(40.64722932617252, -73.78637495254196)",Industrial,563052,59405
"11206
(40.70191201682616, -73.94237919854112)",Large residential,22360022,2359108
