Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) 
"11203
(40.649721601170995, -73.93427608567276)",Institutional,7869164,830241
"11233
(40.67813043816926, -73.91977647550391)",Large residential,10673659,1126131
"11223
(40.596939623165156, -73.97331147204676)",Large residential,7349231,775385
"10458
(40.86260132868841, -73.88479001504714)",Residential,1321890,139467
"11101
(40.74570244980828, -73.93866902925225)",Commercial,9475891,999760
"10451
(40.82069640711353, -73.92384136798472)",Commercial,2168883,228829
"10021
(40.76920532766377, -73.959183941086)",Large Residential,180776,19073
"10033
(40.85621992920642, -73.94585900019268)",Large Residential,90934,9594
"11229
(40.60123350732056, -73.94436854117521)",Small residential,12866878,1357528
"11373
(40.73871040256307, -73.87835115518163)",Small residential,10736218,1132731
"11423
(40.71722229567246, -73.7671414999802)",Industrial,194292,20499
"11040
(40.74529996182383, -73.6796319322678)",Large Residential,3364311,354954
"11362
(40.759074216601846, -73.73430017711144)",Residential,2911498,307179
"11370
(40.75935377085989, -73.89184400040028)",Commercial,29295,3091
"10302
(40.63083331110846, -74.13773429869889)",Institutional,644313,67979
"10307
(40.508004527487, -74.24211428194849)",Commercial,359769,37958
"11372
(40.75163073936716, -73.88361254528269)",Small residential,3273710,345395
"10012
(40.72553802086304, -73.99789641059084)",Large Residential,7190053,758591
"10473
(40.81773147093071, -73.86053700008245)",Commercial,8638721,911433
"11218
(40.64322700851966, -73.9764486221062)",Large residential,8839578,932625
"10019
(40.76761164715987, -73.99180550022362)",Commercial,5022063,529856
"10011
(40.74471526669623, -74.00460000028977)",Commercial,1970,208
"11417
(40.6763637308016, -73.84454275534387)",Institutional,196503,20732
"11385
(40.70122489161548, -73.88334858436963)",Large residential,5367560,566308
"10461
(40.846960590359004, -73.840632836736)",Commercial,3657783,385917
"10018
(40.756840774582145, -73.99669149981281)",Commercial,2082396,219704
"10128
(40.781770000585084, -73.95062814906976)",Commercial,2051345,216428
"10021
(40.76920532766377, -73.959183941086)",Residential,185761,19599
"11230
(40.62192951023877, -73.96551106018723)",Industrial,101877,10749
"10282
(40.71961455706622, -74.01464928293802)",Commercial,1704836,179870
"11233
(40.67813043816926, -73.91977647550391)",Small residential,8291426,874792
"11411
(40.694293339066405, -73.73568329125084)",Large residential,45368,4787
"11416
(40.68457809700163, -73.8496016684822)",Industrial,141055,14882
"11360
(40.78070133439911, -73.78226733686807)",Residential,45219,4771
"10038
(40.70935929189784, -74.00307186237649)",Residential,430776,45449
"11433
(40.698104881734935, -73.7875740339145)",Commercial,1531565,161589
"11354
(40.76862022064671, -73.82719028070687)",Small residential,2080,219
"10466
(40.89080973018497, -73.84600906306775)",Large Residential,1382332,145844
"10011
(40.74471526669623, -74.00460000028977)",Commercial,9456458,997709
"11209
(40.62338709723679, -74.03065295347096)",Large residential,10004300,1055510
"10305
(40.596184688172855, -74.07507238488262)",Industrial,1040978,109829
"10020
(40.7594985131459, -73.98007439721562)",Commercial,194595,20531
"11426
(40.73704138495202, -73.72415699894628)",Commercial,529932,55911
"11364
(40.745924680379744, -73.75790275560763)",Large Residential,1201058,126718
"10014
(40.73358645135369, -74.01019960472792)",Commercial,6034243,636646
"11232
(40.65451161701759, -74.00003392912248)",Small residential,2619957,276420
"10308
(40.552935295427574, -74.15130275981448)",Institutional,98774,10421
"11435
(40.70119264912154, -73.80979665579099)",Small residential,6630439,699548
"11414
(40.65817022817356, -73.84496263981396)",Institutional,116362,12277
"11223
(40.596939623165156, -73.97331147204676)",Institutional,1093448,115365
"11223
(40.596939623165156, -73.97331147204676)",Industrial,159925,16873
"11433
(40.698104881734935, -73.7875740339145)",Industrial,2449515,258438
"11435
(40.70119264912154, -73.80979665579099)",Residential,427854,45141
"10014
(40.73358645135369, -74.01019960472792)",Large Residential,182728,19279
"11236
(40.64002149379695, -73.90112193992553)",Small residential,19201617,2025878
"10036
(40.75934682719435, -73.989860554421)",Commercial,7837223,826871
"10459
(40.82552621616202, -73.89313106784448)",Commercial,5960440,628860
"11001
(40.72139000494485, -73.70739692842545)",Residential,53094,5602
"11361
(40.76418884813688, -73.77232552860022)",Residential,4283479,451931
"11206
(40.70191201682616, -73.94237919854112)",Small residential,5252607,554179
"10018
(40.756840774582145, -73.99669149981281)",Residential,21822,2302
"11366
(40.72816440726166, -73.79226817393703)",Commercial,636236,67126
"11358
(40.760350968822195, -73.79632645819947)",Commercial,2357195,248697
"10301
(40.62678550844453, -74.09611291088208)",Small residential,7412235,782032
"10038
(40.70935929189784, -74.00307186237649)",Residential,24457,2580
"11369
(40.76341327370369, -73.8723788986672)",Commercial,1994597,210441
"11226
(40.64650500230408, -73.9571900991437)",Institutional,994926,104970
"11435
(40.70119264912154, -73.80979665579099)",Commercial,160509,16935
"11004
(40.74323783435864, -73.71201500019208)",Residential,1358168,143294
"11429
(40.70991312049415, -73.73864031609764)",Large residential,47307,4991
"10032
(40.83693034905639, -73.94917852197119)",Commercial,4152807,438144
"11208
(40.67401318266229, -73.87206493005243)",Industrial,1481393,156295
"11104
(40.74489336663561, -73.92054134530679)",Large Residential,226694,23917
"11237
(40.704095739826585, -73.92099423399668)",Industrial,2133783,225126
"11239
(40.64949607998017, -73.8655249998788)",Industrial,11771,1242
"10032
(40.83693034905639, -73.94917852197119)",Residential,717065,75654
"11106
(40.761699790013324, -73.9316632529567)",Commercial,4841650,510821
"11104
(40.74489336663561, -73.92054134530679)",Residential,329490,34763
"11213
(40.67122516920625, -73.93644336636822)",Commercial,1724052,181897
"11432
(40.71311535449007, -73.79282099978928)",Large residential,6817221,719255
"10467
(40.8770479121315, -73.87153250082423)",Residential,1242679,131110
"11428
(40.721396964798146, -73.74193729726841)",Industrial,1772,187
"10475
(40.874142343794176, -73.82706856556183)",Residential,359517,37931
"11379
(40.71679766547993, -73.87933421310339)",Institutional,337862,35646
"11356
(40.7849280967543, -73.84181070040347)",Residential,2618017,276215
"11433
(40.698104881734935, -73.7875740339145)",Institutional,1519465,160312
"11213
(40.67122516920625, -73.93644336636822)",Industrial,24515,2586
"11040
(40.74529996182383, -73.6796319322678)",Residential,378066,39888
"11210
(40.62772226387142, -73.946537919989)",Large residential,6310191,665760
"11427
(40.72931057432362, -73.75067602128132)",Institutional,219049,23111
"10453
(40.852786838341956, -73.91342678431863)",Large Residential,1136648,119923
"11364
(40.745924680379744, -73.75790275560763)",Small residential,1463,154
"10301
(40.62678550844453, -74.09611291088208)",Institutional,1244001,131249
"10466
(40.89080973018497, -73.84600906306775)",Commercial,6931173,731278
"10019
(40.76761164715987, -73.99180550022362)",Commercial,2660,281
"10465
(40.827628067581315, -73.82241314135337)",Residential,315919,33331
"10453
(40.852786838341956, -73.91342678431863)",Residential,1591607,167923
"10019
(40.76761164715987, -73.99180550022362)",Residential,124706,13157
"10017
(40.75245652744684, -73.97297648087982)",Large Residential,258733,27298
"11379
(40.71679766547993, -73.87933421310339)",Small residential,6789947,716377
"11208
(40.67401318266229, -73.87206493005243)",Commercial,2729613,287989
"10471
(40.90199442310421, -73.9036265005625)",Large Residential,56954,6009
"11432
(40.71311535449007, -73.79282099978928)",Small residential,5707516,602175
"10475
(40.874142343794176, -73.82706856556183)",Large Residential,16694182,1761330
"11379
(40.71679766547993, -73.87933421310339)",Commercial,1248717,131747
"10002
(40.71612146793143, -73.98583147024613)",Commercial,12107072,1277364
"11422
(40.66161349396765, -73.736051726406)",Institutional,240378,25361
"11385
(40.70122489161548, -73.88334858436963)",Commercial,3526058,372019
"10027
(40.811549564460904, -73.95290033568193)",Commercial,2931338,309273
"10032
(40.83693034905639, -73.94917852197119)",Commercial,1952524,206002
"10031
(40.82495420507257, -73.9501244360938)",Residential,1748720,184500
"10024
(40.78362556816552, -73.96653900057436)",Commercial,5356180,565107
"10005
(40.7061257920717, -74.00858468583453)",Residential,27868,2940
"11423
(40.71722229567246, -73.7671414999802)",Residential,21201,2237
"11365
(40.73987184371066, -73.79462153515567)",Residential,222234,23447
"10312
(40.54295597733653, -74.18037681723627)",Industrial,13482,1422
"11237
(40.704095739826585, -73.92099423399668)",Commercial,2600827,274402
"10034
(40.8706171092922, -73.9242232587963)",Commercial,1521876,160566
"11235
(40.57841410882412, -73.94026000009887)",Large residential,15358828,1620442
"11362
(40.759074216601846, -73.73430017711144)",Residential,85444,9015
"11370
(40.75935377085989, -73.89184400040028)",Residential,24585,2594
"10462
(40.84225833665295, -73.85799663293824)",Residential,700617,73919
"10309
(40.530393118347774, -74.21893861432557)",Large residential,13184,1391
"10465
(40.827628067581315, -73.82241314135337)",Residential,6724287,709450
"10023
(40.774536138232236, -73.97994335610099)",Residential,243744,25716
"11225
(40.66317005855143, -73.95370110911887)",Institutional,1222964,129030
"11215
(40.665557251366124, -73.97968153557434)",Industrial,1488168,157010
"11357
(40.78628404147537, -73.81123206101074)",Commercial,1271449,134145
"10451
(40.82069640711353, -73.92384136798472)",Residential,697652,73606
"11379
(40.71679766547993, -73.87933421310339)",Large residential,659949,69628
"11221
(40.69128803951145, -73.92761792792498)",Commercial,1761754,185875
"10314
(40.59649030298516, -74.16599111879503)",Commercial,42747652,4510117
"11241
(40.69328899958771, -73.99062699983614)",Commercial,184,19
"11432
(40.71311535449007, -73.79282099978928)",Residential,1830443,193122
"10470
(40.90012797192844, -73.8712277502604)",Commercial,841945,88830
"11415
(40.708286075142325, -73.82855612156771)",Commercial,586484,61877
"11215
(40.665557251366124, -73.97968153557434)",Small residential,9903140,1044837
"11212
(40.66279716995348, -73.91298489433734)",Industrial,3623309,382279
"11213
(40.67122516920625, -73.93644336636822)",Large residential,10763716,1135632
"11229
(40.60123350732056, -73.94436854117521)",Industrial,141426,14921
"11219
(40.63277295540763, -73.99667681118586)",Small residential,13366615,1410253
"10467
(40.8770479121315, -73.87153250082423)",Commercial,10790922,1138503
"11371
(40.775567374634704, -73.87086549974299)",Institutional,1065320,112397
"10461
(40.846960590359004, -73.840632836736)",Commercial,313,33
"10002
(40.71612146793143, -73.98583147024613)",Residential,4509087,475734
"11212
(40.66279716995348, -73.91298489433734)",Institutional,1441719,152109
"11222
(40.72825312178418, -73.94715978319738)",Industrial,1309400,138149
"10007
(40.71363051943297, -74.00913138370635)",Residential,605082,63840
"10304
(40.59122944258473, -74.1113280000871)",Commercial,1445743,152534
"11439
(40.721924799390024, -73.79455513281312)",Commercial,3739,395
"11201
(40.69467825879468, -73.98992086835335)",Large residential,18973029,2001761
"10468
(40.869693003729196, -73.89892699248668)",Commercial,3511905,370526
"10468
(40.869693003729196, -73.89892699248668)",Large Residential,2590340,273295
"10456
(40.8304366800088, -73.9077651995043)",Commercial,2957732,312057
"11102
(40.77152402451418, -73.92643545073543)",Commercial,1778170,187607
"10464
(40.875709096797436, -73.81229725041771)",Residential,1094782,115506
"10281
(40.71433000042924, -74.0151969997417)",Commercial,34332,3622
"11434
(40.6769452621142, -73.77530690169215)",Small residential,10076855,1063165
"11217
(40.68231210132245, -73.97956718857483)",Small residential,4615326,486943
"10303
(40.633032309993155, -74.16834884981955)",Commercial,1062619,112112
"11239
(40.64949607998017, -73.8655249998788)",Institutional,274144,28924
"11233
(40.67813043816926, -73.91977647550391)",Institutional,1165816,123000
"10011
(40.74471526669623, -74.00460000028977)",Residential,4029369,425121
"10473
(40.81773147093071, -73.86053700008245)",Commercial,1408773,148633
"11694
(40.57657830564432, -73.85077700055808)",Small residential,4716368,497603
"11366
(40.72816440726166, -73.79226817393703)",Residential,154642,16316
"10475
(40.874142343794176, -73.82706856556183)",Commercial,755111,79668
"11415
(40.708286075142325, -73.82855612156771)",Large residential,3021274,318761
"11435
(40.70119264912154, -73.80979665579099)",Large residential,4902151,517204
"11217
(40.68231210132245, -73.97956718857483)",Industrial,115795,12217
"10022
(40.758630224005685, -73.96809182217982)",Residential,981692,103574
"11412
(40.69812711747255, -73.75923519834566)",Large residential,151333,15966
"11368
(40.749678220373596, -73.85304068857687)",Commercial,978,103
"10310
(40.632789000212256, -74.11645860538027)",Industrial,20001,2110
"11360
(40.78070133439911, -73.78226733686807)",Commercial,2307963,243503
"11101
(40.74570244980828, -73.93866902925225)",Residential,182865,19293
"11363
(40.772398418252465, -73.74679788741253)",Commercial,151243,15957
"10002
(40.71612146793143, -73.98583147024613)",Commercial,4230121,446301
"11367
(40.730323085042414, -73.82610630716033)",Residential,321417,33911
"10463
(40.88187196282087, -73.91120748054078)",Commercial,2174885,229463
"11236
(40.64002149379695, -73.90112193992553)",Institutional,839695,88593
"11419
(40.68871379040917, -73.82288833053201)",Industrial,95925,10121
"11427
(40.72931057432362, -73.75067602128132)",Industrial,14014,1479
"11204
(40.619055848049015, -73.98479859887618)",Small residential,14470621,1526732
"10463
(40.88187196282087, -73.91120748054078)",Commercial,3561,376
"11373
(40.73871040256307, -73.87835115518163)",Commercial,3054489,322266
"10301
(40.62678550844453, -74.09611291088208)",Commercial,2358335,248818
"10026
(40.80305812163505, -73.95334277604826)",Residential,2349135,247847
"11211
(40.711589765255496, -73.95817675075642)",Institutional,1200176,126625
"10471
(40.90199442310421, -73.9036265005625)",Commercial,6866,724
"11418
(40.69637041236467, -73.84031024991805)",Large residential,1398053,147502
"10463
(40.88187196282087, -73.91120748054078)",Residential,1918613,202424
"11226
(40.64650500230408, -73.9571900991437)",Industrial,65835,6946
"10065
(40.76430121303059, -73.96303993544461)",Large Residential,10486338,1106367
"11378
(40.72145310497689, -73.90854350068196)",Small residential,7366479,777205
"10469
(40.86818180274804, -73.84656868779467)",Residential,7945664,838312
"10025
(40.79685012763133, -73.96372581059762)",Commercial,21864,2307
"11423
(40.71722229567246, -73.7671414999802)",Residential,261189,27557
"11209
(40.62338709723679, -74.03065295347096)",Institutional,2102591,221835
"11101
(40.74570244980828, -73.93866902925225)",Large Residential,11435850,1206546
"11361
(40.76418884813688, -73.77232552860022)",Large Residential,446965,47157
"10460
(40.84309034804119, -73.87860282506028)",Large Residential,121201,12787
"11228
(40.61654071408276, -74.0132778473947)",Small residential,9926950,1047349
"11421
(40.69176458756573, -73.85702228584978)",Large residential,1299205,137073
"11203
(40.649721601170995, -73.93427608567276)",Large residential,5413010,571103
"11385
(40.70122489161548, -73.88334858436963)",Institutional,1245917,131451
"11207
(40.670802431187326, -73.89384115004901)",Commercial,3104972,327592
"11419
(40.68871379040917, -73.82288833053201)",Commercial,1174701,123938
"11355
(40.7512997969481, -73.82147854789662)",Commercial,5137322,542016
"11421
(40.69176458756573, -73.85702228584978)",Industrial,22617,2386
"11205
(40.693882095282504, -73.96433450773128)",Industrial,949014,100126
"10312
(40.54295597733653, -74.18037681723627)",Institutional,273950,28903
"10457
(40.84579837129786, -73.89832418681175)",Commercial,5354415,564921
"11412
(40.69812711747255, -73.75923519834566)",Institutional,1496825,157923
"11239
(40.64949607998017, -73.8655249998788)",Commercial,487427,51426
"11414
(40.65817022817356, -73.84496263981396)",Large residential,2790928,294459
"11377
(40.74519376448069, -73.9048471440804)",Commercial,3893626,410799
"11370
(40.75935377085989, -73.89184400040028)",Commercial,1119225,118085
"10474
(40.810882923108466, -73.88235636235618)",Commercial,3122702,329463
"11208
(40.67401318266229, -73.87206493005243)",Small residential,12293703,1297055
"10033
(40.85621992920642, -73.94585900019268)",Commercial,1766048,186328
"10310
(40.632789000212256, -74.11645860538027)",Large residential,1270998,134097
"11354
(40.76862022064671, -73.82719028070687)",Residential,4101823,432765
"10305
(40.596184688172855, -74.07507238488262)",Commercial,1902540,200729
"10311
(40.60754099961747, -74.17105899997284)",Commercial,55290,5833
"11370
(40.75935377085989, -73.89184400040028)",Commercial,84349,8899
"10454
(40.805846930091775, -73.91628504651766)",Residential,151124,15944
"10306
(40.56602048965391, -74.11994566905736)",Large residential,1744540,184059
"10469
(40.86818180274804, -73.84656868779467)",Large Residential,18293,1930
"11366
(40.72816440726166, -73.79226817393703)",Small residential,6521,688
"11418
(40.69637041236467, -73.84031024991805)",Small residential,6229973,657297
"10005
(40.7061257920717, -74.00858468583453)",Commercial,1419854,149803
"11358
(40.760350968822195, -73.79632645819947)",Residential,5983515,631294
"11104
(40.74489336663561, -73.92054134530679)",Residential,1153072,121656
"11237
(40.704095739826585, -73.92099423399668)",Institutional,809265,85382
"11106
(40.761699790013324, -73.9316632529567)",Large Residential,66963,7065
"10035
(40.79381703542788, -73.91931750020245)",Residential,126399,13336
"10036
(40.75934682719435, -73.989860554421)",Residential,1350797,142517
"10311
(40.60754099961747, -74.17105899997284)",Institutional,18255,1926
"11231
(40.6775543117821, -74.00467670436637)",Commercial,3743947,395007
"11224
(40.576304656334855, -73.99953200040147)",Commercial,2484705,262150
"11420
(40.67334524268887, -73.81770717164864)",Industrial,8901,939
"11423
(40.71722229567246, -73.7671414999802)",Commercial,71779,7573
"10024
(40.78362556816552, -73.96653900057436)",Residential,3988908,420852
"11365
(40.73987184371066, -73.79462153515567)",Commercial,5329748,562318
"10304
(40.59122944258473, -74.1113280000871)",Large residential,3415047,360307
"10012
(40.72553802086304, -73.99789641059084)",Commercial,2987748,315224
"10465
(40.827628067581315, -73.82241314135337)",Commercial,1220820,128803
"11103
(40.76286893025696, -73.91327185810974)",Residential,2853904,301103
"10016
(40.745242969987146, -73.97823298586354)",Residential,1501042,158368
"11375
(40.720707263029794, -73.84628429608335)",Institutional,283731,29935
"10456
(40.8304366800088, -73.9077651995043)",Residential,1999484,210957
"10305
(40.596184688172855, -74.07507238488262)",Institutional,8441661,890643
"11427
(40.72931057432362, -73.75067602128132)",Commercial,1165892,123008
"11377
(40.74519376448069, -73.9048471440804)",Industrial,705930,74480
"11207
(40.670802431187326, -73.89384115004901)",Small residential,12107357,1277394
"11377
(40.74519376448069, -73.9048471440804)",Residential,366911,38711
"10308
(40.552935295427574, -74.15130275981448)",Industrial,4178,441
"11430
(40.64722932617252, -73.78637495254196)",Commercial,7251275,765050
"11375
(40.720707263029794, -73.84628429608335)",Large residential,15937171,1681461
"11416
(40.68457809700163, -73.8496016684822)",Institutional,277779,29307
"10010
(40.73914078212147, -73.98289845639863)",Large Residential,212584,22429
"11421
(40.69176458756573, -73.85702228584978)",Commercial,743600,78454
"11231
(40.6775543117821, -74.00467670436637)",Industrial,352339,37174
"11415
(40.708286075142325, -73.82855612156771)",Small residential,1700526,179415
"11436
(40.67571820912809, -73.79646501494847)",Large residential,225350,23776
"11004
(40.74323783435864, -73.71201500019208)",Residential,132722,14003
"11232
(40.65451161701759, -74.00003392912248)",Institutional,1847474,194919
"11374
(40.72646491702238, -73.86148084756303)",Institutional,328460,34654
"11243
(40.685030000034544, -73.97807500016108)",Large residential,201530,21263
"11217
(40.68231210132245, -73.97956718857483)",Commercial,2720173,286993
"10010
(40.73914078212147, -73.98289845639863)",Commercial,2096300,221171
"11433
(40.698104881734935, -73.7875740339145)",Small residential,5792993,611193
"10128
(40.781770000585084, -73.95062814906976)",Commercial,32026,3379
"10308
(40.552935295427574, -74.15130275981448)",Commercial,565006,59611
"10013
(40.721242188776046, -74.00888900022716)",Large Residential,1137066,119967
"10028
(40.776344978837756, -73.95296667956859)",Large Residential,420403,44355
"11216
(40.680758670876, -73.94926775090596)",Industrial,50669,5346
"10302
(40.63083331110846, -74.13773429869889)",Small residential,3521474,371535
"11354
(40.76862022064671, -73.82719028070687)",Large Residential,2040792,215315
"10026
(40.80305812163505, -73.95334277604826)",Residential,148829,15702
"10302
(40.63083331110846, -74.13773429869889)",Industrial,6464,682
"10029
(40.79161072055837, -73.94403228106489)",Commercial,14817079,1563285
"10312
(40.54295597733653, -74.18037681723627)",Commercial,1174629,123930
"11204
(40.619055848049015, -73.98479859887618)",Industrial,162329,17127
"10472
(40.829730432513486, -73.87013213139272)",Commercial,5479605,578129
"11374
(40.72646491702238, -73.86148084756303)",Commercial,1938527,204525
"11209
(40.62338709723679, -74.03065295347096)",Industrial,29677,3131
"11427
(40.72931057432362, -73.75067602128132)",Residential,77967,8226
"10003
(40.73194394755518, -73.98887214913032)",Commercial,5073198,535251
"10028
(40.776344978837756, -73.95296667956859)",Residential,238163,25128
"11359
(40.79159246611948, -73.77693836811113)",Commercial,128,13
"10016
(40.745242969987146, -73.97823298586354)",Commercial,3446607,363636
"11378
(40.72145310497689, -73.90854350068196)",Institutional,3127131,329930
"11238
(40.67886241346963, -73.9638204696389)",Small residential,5094432,537491
"10001
(40.75025902143676, -73.99688630375988)",Commercial,4628579,488341
"10314
(40.59649030298516, -74.16599111879503)",Industrial,441639,46595
"11360
(40.78070133439911, -73.78226733686807)",Commercial,17858,1884
"10128
(40.781770000585084, -73.95062814906976)",Residential,263835,27836
"11356
(40.7849280967543, -73.84181070040347)",Large Residential,11747,1239
"11106
(40.761699790013324, -73.9316632529567)",Residential,350151,36943
"11435
(40.70119264912154, -73.80979665579099)",Residential,6659,703
"11427
(40.72931057432362, -73.75067602128132)",Commercial,141057,14882
"10016
(40.745242969987146, -73.97823298586354)",Residential,111236,11736
"11226
(40.64650500230408, -73.9571900991437)",Small residential,6406707,675943
"11423
(40.71722229567246, -73.7671414999802)",Large residential,1922380,202822
"11219
(40.63277295540763, -73.99667681118586)",Large residential,4862069,512976
"10282
(40.71961455706622, -74.01464928293802)",Commercial,508119,53609
"11224
(40.576304656334855, -73.99953200040147)",Small residential,2671212,281828
"10001
(40.75025902143676, -73.99688630375988)",Large Residential,3616905,381604
"10471
(40.90199442310421, -73.9036265005625)",Residential,2226655,234925
"11225
(40.66317005855143, -73.95370110911887)",Industrial,567743,59900
"11205
(40.693882095282504, -73.96433450773128)",Commercial,4023498,424502
"10314
(40.59649030298516, -74.16599111879503)",Institutional,2294516,242084
"11414
(40.65817022817356, -73.84496263981396)",Small residential,6266456,661146
"11429
(40.70991312049415, -73.73864031609764)",Commercial,717488,75699
"11109
(40.744414792408804, -73.95770234668589)",Commercial,752231,79365
"11216
(40.680758670876, -73.94926775090596)",Commercial,1795793,189466
"11213
(40.67122516920625, -73.93644336636822)",Small residential,5855036,617739
"11426
(40.73704138495202, -73.72415699894628)",Small residential,2754,291
"10037
(40.81329776108288, -73.93728252556804)",Large Residential,4228025,446080
"11367
(40.730323085042414, -73.82610630716033)",Residential,2905831,306581
"10457
(40.84579837129786, -73.89832418681175)",Residential,1697773,179125
"10461
(40.846960590359004, -73.840632836736)",Large Residential,9651221,1018258
"11420
(40.67334524268887, -73.81770717164864)",Commercial,8380985,884241
"10065
(40.76430121303059, -73.96303993544461)",Commercial,13811460,1457186
